Model Prediction	Tags	Tokens
O	O	Clustering
O	O	of
O	O	missense
O	O	mutations
O	O	in
O	O	the
B	B	ataxia
I	I	-
I	I	telangiectasia
O	O	gene
O	O	in
O	O	a
B	B	sporadic
B	I	T
I	I	-
I	I	cell
I	I	leukaemia
O	O	.
B	B	Ataxia
I	I	-
I	I	telangiectasia
O	O	(
B	B	A
I	I	-
I	I	T
O	O	)
O	O	is
O	O	a
B	B	recessive
I	I	multi
I	I	-
I	I	system
I	I	disorder
O	O	caused
O	O	by
O	O	mutations
O	O	in
O	O	the
O	O	ATM
O	O	gene
O	O	at
O	O	11q22
O	O	-
O	O	q23
O	O	(
O	O	ref
O	O	.
O	O	3
O	O	)
O	O	.
O	O	The
O	O	risk
O	O	of
B	B	cancer
O	O	,
O	O	especially
B	B	lymphoid
I	I	neoplasias
O	O	,
O	O	is
O	O	substantially
O	O	elevated
O	O	in
B	B	A
I	I	-
I	I	T
O	O	patients
O	O	and
O	O	has
O	O	long
O	O	been
O	O	associated
O	O	with
O	O	chromosomal
O	O	instability
O	O	.
O	O	By
O	O	analysing
B	B	tumour
O	O	DNA
O	O	from
O	O	patients
O	O	with
O	B	sporadic
B	I	T
I	I	-
I	I	cell
I	I	prolymphocytic
I	I	leukaemia
O	O	(
B	B	T
I	I	-
I	I	PLL
O	O	)
O	O	,
O	O	a
O	O	rare
O	B	clonal
I	I	malignancy
O	O	with
O	O	similarities
O	O	to
O	O	a
O	B	mature
B	I	T
I	I	-
I	I	cell
I	I	leukaemia
O	O	seen
O	O	in
B	B	A
I	I	-
I	I	T
O	O	,
O	O	we
O	O	demonstrate
O	O	a
O	O	high
O	O	frequency
O	O	of
O	O	ATM
O	O	mutations
O	O	in
B	B	T
O	I	-
O	I	PLL
O	O	.
O	O	In
O	O	marked
O	O	contrast
O	O	to
O	O	the
O	O	ATM
O	O	mutation
O	O	pattern
O	O	in
B	B	A
I	I	-
I	I	T
O	O	,
O	O	the
O	O	most
O	O	frequent
O	O	nucleotide
O	O	changes
O	O	in
O	O	this
B	B	leukaemia
O	O	were
O	O	missense
O	O	mutations
O	O	.
O	O	These
O	O	clustered
O	O	in
O	O	the
O	O	region
O	O	corresponding
O	O	to
O	O	the
O	O	kinase
O	O	domain
O	O	,
O	O	which
O	O	is
O	O	highly
O	O	conserved
O	O	in
O	O	ATM
O	O	-
O	O	related
O	O	proteins
O	O	in
O	O	mouse
O	O	,
O	O	yeast
O	O	and
O	O	Drosophila
O	O	.
O	O	The
O	O	resulting
O	O	amino
O	O	-
O	O	acid
O	O	substitutions
O	O	are
O	O	predicted
O	O	to
O	O	interfere
O	O	with
O	O	ATP
O	O	binding
O	O	or
O	O	substrate
O	O	recognition
O	O	.
O	O	Two
O	O	of
O	O	seventeen
O	O	mutated
O	B	T
O	I	-
O	I	PLL
O	O	samples
O	O	had
O	O	a
O	O	previously
O	O	reported
